,Код,ФИО,Место рождения,Годы жизни,Пол,Сфера деятельности,Примечание
0,1,Нестор,вероятно Киев,около 1056 - 1114 гг.,,Культура,"Святой Нестор Летописец - преподобный святой, монах Киево-Печерского монастыря, древнерусский историк и публицист. Первый летописец Руси. Погребен в Ближних пещерах преподобного Антония Печерского Киево-Печерской лавры."
1,2,Казимир IV (Ягайлович),Краков,29(30).11.1427 - 07.06.1492,,Государственная деятельность,"Великий князь литовский (с 1440), польский король (с 1447). Младший сын Ягайло (Владислава II Ягеллона) и княгини Софьи Гольшанской. После гибели старшего брата Владислава III не сразу принял предложение занять польский престол, предпочитая оставаться наследственным правителем Великого княжества Литовского."
2,3,Геродот,Бодрум (Галикарнас),около 484 г. до н. э. - около 425 г .до н. э.,,"Культура, образование","Геродот Галикарнасский () - древнегреческий историк. По крылатому выражению Цицерона «отец истории» - автор первого сохранившегося значительного трактата «История», описывающего греко-персидские войны и обычаи многих современных ему народов. Труды Геродота имели огромное значение для античной культуры."
3,4,Рогволод,,,,,
4,5,Тур,,,,,
5,7,Зденек Буриан,,,,,
6,8,Рябушкин Андрей,Томбовская губерния,,,,
7,9,Рерих Николай,Санкт-Петербург,,,,
8,10,Радим,,,,,Мифическая личность
9,11,Вятко,,,,,Мифическая личность
10,12,Рюрик,,,,,
11,13,Олег,,,,,Преемник Рюрика
12,14,Волчий хвост,,,,,
13,17,Владимир Великий,,,,,"Красное Солнышко, Владимир Святославич, Владимир Креститель"
14,18,Рогнеда,,,,,
15,19,Изяслав Владимирович,,,,,сын Владимира и Рогнеды
16,20,Дудченко Николай,,,,,
17,21,Брячислав Изяславович,,,,,
18,22,Ярослав Мудрый,,,,,
19,23,Всеслав Брячиславович (Чародей),,,,,Чародей
20,24,Татарников Павел,,,,,
21,25,"Ярославичи (Изяслав, Святослав, Всеволод)",,,,,Сыновья Ярослава Мудрого
22,26,Глеб Менский Всеславич,,,,,Сын Всеслава
23,27,Заяц Юрий,,,,,
24,28,Владимир Мономах,,,,,
25,29,Мстислав Великий,,,,,Старший сын Владимира Мономаха
26,30,Давыд Всеславич,,,,,
27,31,Борис (Рогволод) Всеславич,,,,,
28,33,Роман Всеславич,,,,,Сын Всеслава Брячиславовича
29,34,Святослав (Георгий) Всеславич,,,,,Сын Всеслава Брячиславовича
30,35,Ростислав Всеславич,,,,,Сын Всеслава Брячиславовича
31,36,Рогволод Борисович,,,,,"Сын Бориса, внук Всеслава Брячиславовича"
32,37,Ростислав Глебович,,,,,"Сын Глеба Менского, внук Всеслава Брячиславовича"
33,38,Володарь Глебович,,,,,"Сын Глеба Менского, внук Всеслава Брячиславовича"
34,39,Василько Святославич,,,,,"Сын Святослава (Георгия), внук Всеслава Брячиславовича"
35,40,Полоцкая Ефросинья,Полоцк,,,,"Дочь Святослава (Георгия), внучка Всеслава Брячиславовича"
36,41,Святополк Владимирович Окаянный,,,,,Сын Владимира Красное Солнышко
37,43,Борис Владимирович,,,,,Сын Владимира Красное Солнышко
38,44,Глеб Владимирович,,,,,Сын Владимира Красное солнышко
39,45,Ярополк Изяславич,,,,,"сын Изяслава, внук Ярослава Мудрого"
40,46,Святополк Изяславич,,,,,"сын Изяслава, внук Ярослава Мудрого"
41,47,Ярослав Святополчич,,,,,"сын Святополка, правнук Ярослава Мудрого"
42,48,Юрий Ярославич,,,,,"сын Ярослава, внук Святополка, правнук Изяслава Ярославича"
43,49,Иван Юрьевич,,,,,"сын Юрия, внук Ярослава, правнук Святополка, праправнук Изяслава Ярославича"
44,55,Изяслав Давыдович,,,,,
45,50,Святополк Юрьевич,,,,,"сын Юрия, внук Ярослава, правнук Святополка, праправнук Изяслава Ярославича"
46,51,Ярослав Юрьевич,,,,,"сын Юрия, внук Ярослава, правнук Святополка, праправнук Изяслава Ярославича"
47,52,Глеб Юрьевич,,,,,"сын Юрия, внук Ярослава, правнук Святополка, праправнук Изяслава Ярославича"
48,53,Ярополк Юрьевич,,,,,"сын Юрия, внук Ярослава, правнук Святополка, праправнук Изяслава Ярославича"
49,56,Архангел Михаил,,,,,Мифическая фигура
50,57,Всеволодко,,,,,зять Мономаха
51,58,Буксгевден Альберт,,,,,
52,59,Владимир Полоцкий (Вальдемар),,,,,
53,60,Всеволод (Висвальдис) Герсикский,,,,,личность не индетифицирована
54,61,Даугеруте,,,,,
55,62,Вячко (Вячеслав),,,,,
56,63,Азгур Заир Исаакович,,,,,
57,64,Яков Полочанин,,,,,
58,65,Невский Александр Ярославич,,,,,
59,66,Брячислав Василькович,,,,,
60,67,Параскева (Александра),,,,,
61,68,Батый,,,,,
62,69,Койдан (Кадан),,,,,
63,70,Кирилл и Мефодий,,,,,
64,71,Мина,,,,,
65,72,Фома,,,,,Епископ Туровский
66,73,Иванов Сергей,,,,,художник
67,74,Иисус Христос,,,,,
68,75,Туровский Кирилл,,,,,
69,76,Климова Наталья,,,,,
70,77,"Давыд, Тума, Микула, Петр",,,,,Строители софийского собора
71,78,Иоанн (Иван) Зодчий,,,,,"Зодчий, строитель"
72,79,Богша Лазарь,,,,,
73,80,Богородица,,,,,
74,81,Иоанн Креститель,,,,,
75,82,Николай Кузьмич,,,,,ювелир
76,83,Васина Зинаида,,,,,
77,84,Фёдоров Олег,,,,,
78,85,Владимир Василькович,,,,,
79,86,Давыд Игоревич,,,,,Буйный
80,87,Тарасов С.В.,,,,,
81,88,Степан,,,,,
82,89,Нежила,,,,,
83,90,Миндовг,,,,,
84,91,Витень,,,,,
85,92,Роман Данилович,,,,,сын Даниила Романовича
86,93,Шварн Данилович,,,,,сын Даниила Романовича
87,94,Варнас Адомас,,,,,
88,95,Войшелк,,,,,
89,96,Тройден,,,,,
90,97,Товтивил,,,,,
91,98,Эдивид,,,,,
92,99,Тройнат,,,,,
93,100,Довмонт (Тимофей),,,,,
94,102,Гедимин,,,,,
95,103,Ольгерд,,,,,
96,104,Острожский Даниил,,,,,
97,105,Орлёнов Артур,,,,,
98,106,Кориат,,,,,
99,107,Александр Кориатович,,,,,
100,108,Константин Кориатович,,,,,
101,109,Юрий Кориатович,,,,,
102,110,Федор Кориатович,,,,,
103,111,Евнут,,,,,Сын Гедимина
104,112,Кейстут,,,,,
105,113,Пукувер Будивид,,,,,
106,114,Мария Витебская,,,,,"Мария Ярославна, дочь Ярослава Васильевича, князя Витебского, первая жена Ольгерда, великого князя литовского"
107,115,Ярослав,,,,,"Ярослав, князь витебский"
108,116,Ярослав Васильевич,,,,,"Последний князь витебский, отец Марии Витебской."
109,117,Бирута Гедиминовна,,,,,жена Давыда Городенского
110,118,Давыд Городенский,,,,,"Сын Довмонта (Тимофея), князя Псковского. Муж Бируты Гедиминовны."
111,119,Андрей Полоцкий (Ольгердович),,,,,
112,120,Стрыйковский Матей,,,,,
113,121,Владислав Локетек,,,,,Король-принцепс Польши
114,122,Вольдемар (маркграф Бранденбургский),,,,,
115,123,Гост Андрей,,,,,Убийца Давыда Городенского
116,124,Ягайло (Владислав II),,,,,
117,125,Дмитрий Донской,,,,,
118,126,Витовт,,,,,
119,127,Андриолли Михал,,,,,
120,128,Ядвига Анжуйская,,,,,
121,129,Вильгельм Габсбург,,,,,
122,130,Монтвид,,,,,
123,131,Любарт,,,,,
124,132,Наримонт,,,,,
125,133,Скиргайло,,,,,
126,134,Микгайло,,,,,Вымышленный князь
127,135,Ян Длугош,,,,,
128,136,Тохтамыш,,,,,
129,137,Кутлуг Тимур,,,,,
130,138,Эдигей,,,,,
131,139,Стахевич Петр,,,,,
132,140,Сигизмунд I Люксембург,,,,,
133,141,Дюрер Альбрехт,,,,,
134,142,Сигизмунд Корибутович,,,,,
135,143,Жижка Ян,,,,,
136,144,Ульрих фон Юнгинген,,,,,
137,145,Матейко Ян,,,,,
138,146,Фридрих фон Валленрод,,,,,
139,147,Куна фон Лихтенштейн,,,,,
140,148,Зындрам из Машковиц,,,,,
141,149,Свидригайло,,,,,
142,150,Сигизмунд Кейстутович,,,,,
143,151,Герасим (митрополит Киевский),,,,,
144,152,Якуб из Кобылян,,,,,
145,154,Чарторыйский Александр,,,,,Иван?
146,155,Скобейко (киевлянин),,,,,убийца Сигизмунда Кейстутовича
147,156,Довгерд,,,,,Воевода виленский
148,157,Люлеш,,,,,Воевода трокский
149,158,Владислав III Варненчик,,,,,
150,159,Михаил Сигизмундович,,,,,Последний из рода Кейстутовичей
151,160,Иван III (Васильевич),,,,,
152,161,Хаджи Гирей,,,,,
153,162,Радзивилл Остик (Остикович),,,,,
154,163,Александр Казимирович (Ягеллончик),,,,,
155,164,Жильбер де Ланнуа,,,,,
156,165,Цамблак Григорий,,,,,
157,166,Ульрих фон Рихенталь,,,,,
158,167,Пинтуриккьо,,,,,
159,168,Понтий Пилат,,,,,
160,169,Кравцевич Александр Константинович,,,,,
161,170,Ипатова О.М.,,,,,
162,171,Сигизмунд I Старый (Ягеллон),,,,,
163,172,Сигизмунд II Август (Ягеллон),,,,,
164,377,Немцевич Юлиан Урсин,,,,,
165,378,Долгоруков Николай Андреевич,,,,,
166,379,Магнус Эдуард,,,,,
167,380,Романов Александр Николаевич (Александр II),,,,,
168,381,Назимов Владимир Иванович,,,,,
169,382,Кустодиев Борис Михайлович,,,,,
170,383,Калиновский Кастусь (Константин Викентий Семенович Калиновский),,,,, «Яська-гаспадар з-пад Вільні»
171,384,Рожанский Феликс,,,,,
172,385,Врублевский Валерий,,,,,
173,386,Траугутт Ромуальд,,,,,
174,387,Муравьев Михаил Николаевич,,,,,
175,388,Альхимович Казимир,,,,,
176,389,Минейко Зигмунт,,,,,
177,390,Черский Иван,,,,,
178,391,Коялович Михаил Осипович,,,,,
179,392,Шерешевский Иосель,,,,,
180,393,Шагал Марк Захарович,,,,,
181,394,Пэн Юдель Моисеевич,,,,,
